Participant,Channel,ChanIdx,AvgCorr,ZCorr,RansacCorr
P15,O2,18,0.707610296833644,0.987858710754632,0.99458201987881
P15,O1,19,0.708414844956252,1,0.973890381171177
P16,Fp2,1,0.61869821434289,1.09833390938837,0.930711534396846
P16,Fp1,2,0.645661766623345,1.70999954042539,0.957538088257051
P16,F8,3,0.526199088682158,-1,0.96223307104546
P16,F4,4,0.480627443155991,-2.03378846482197,0.494087191859356
P16,Fz,5,0.57028126513981,0,0.888323835018121
P16,F3,6,0.471266632255579,-2.24613757397735,0.653340494772188
P16,F7,7,0.542539713790929,-0.629314466256706,0.899173352354348
P16,T4,8,0.556026617879445,-0.323365323716682,1
P16,C4,9,0.501708713724662,-1.55556183758356,1
P16,Cz,10,0.597180603857556,0.610208952445622,0.953060441280438
P16,C3,11,0.505984931548431,-1.45855624105007,1
P16,T3,12,0.574194598410645,0.0887735948018499,1
P16,T6,13,0.636542947324253,1.50313998783837,0.991750298631873
P16,P4,14,0.60070449486347,0.690148086333426,0.999932520498177
P16,Pz,15,0.513483527981609,-1.2884512908015,0.818355838300894
P16,P3,16,0.571600164991953,0.0299191182951303,0.994738662272169
P16,T5,17,0.615583013983256,1.02766588412363,0.941020410374909
P16,O2,18,0.557669875470391,-0.286088180821419,0.990075862805947
P16,O1,19,0.586213976092404,0.361432039724728,0.929628332921876
P17,Fp2,1,0.673573121547581,1.45765759503976,0.860400858189812
P17,Fp1,2,0.664737388265792,1.34411602119606,1
P17,F8,3,0.468251009104898,-1.18078734757794,0.943161458476258
P17,F4,4,0.560139131776793,0,0.985527890039969
P17,Fz,5,0.379484503107665,-2.32146107256517,1
P17,F3,6,0.534432668437155,-0.330335039826698,0.935596341777686
P17,F7,7,0.603356690069856,0.555357368741513,0.882557466068008
P17,T4,8,0.524909378958654,-0.452711897646377,0.984687700355693
P17,C4,9,0.519523282202396,-0.521924704674002,0.964500284108407
P17,Cz,10,0.427725792505772,-1.70154739388955,1
P17,C3,11,0.485076483979649,-0.964575422996173,1
P17,T3,12,0.524099834461325,-0.463114764436465,1
P17,T6,13,0.655296631208556,1.2227997274184,0.995271171428681
P17,P4,14,0.670500256285073,1.41817044134377,0.99331888055073
P17,Pz,15,0.497213050790128,-0.808617241284056,-0.17971880228187
P17,P3,16,0.660479629004603,1.28940265761373,0.997179446862038
P17,T5,17,0.667334855972642,1.37749418710921,0.995122832120797
P17,O2,18,0.63795849769427,1,0.988482138191939
P17,O1,19,0.618901354573663,0.755110531987423,0.957770817809037
P18,Fp2,1,0.41746724826058,0,1
P18,Fp1,2,0.452349649405576,0.641245514214007,0.662474568468006
P18,F8,3,0.32026578294357,-1.78686104062826,1
P18,F4,4,0.422136402154592,0.0858333684445855,0.705898144890498
P18,Fz,5,0.328291275395634,-1.63932787589992,0.713748212505825
P18,F3,6,0.417452629684257,-0.000268734266655936,0.999196326409702
P18,F7,7,0.44546434937953,0.514672583142913,0.70856059623312
P18,T4,8,0.235508106677575,-3.34496707452347,1
P18,C4,9,0.266033705830222,-2.78381294284646,1
P18,Cz,10,0.516712552947379,1.82443307651547,0.992249754545159
P18,C3,11,0.230537991506964,-3.43633303425295,1
P18,T3,12,0.253270822329328,-3.0184338842021,1
P18,T6,13,0.412827659076304,-0.0852898784073428,0.962634739043402
P18,P4,14,0.47462831189618,1.05079565743392,0.870882050840001
P18,Pz,15,0.449233739090942,0.583965526415946,0.999089906042031
P18,P3,16,0.439468783746525,0.404455698950828,0.976402530623428
P18,T5,17,0.381304275338471,-0.664786350875132,0.915097055330422
P18,O2,18,0.471865135453214,1,0.997902156603723
P18,O1,19,0.475911641570162,1.07438719269772,0.954448194881273
P19,Fp2,1,0.58969118782132,0.515486207135658,0.935055054917596
P19,Fp1,2,0.622322102377213,1,0.953919055839091
P19,F8,3,0.343590285402476,-3.1386952119615,1
P19,F4,4,0.416603285562404,-2.05457586938846,0.80059147054879
P19,Fz,5,0.475127904880126,-1.18558443388945,0.808825064236938
P19,F3,6,0.606173034917307,0.760213710442627,0.998009569262369
P19,F7,7,0.584220039352051,0.434248922424288,0.875937249260314
P19,T4,8,0.415076031562366,-2.07725300358151,1
P19,C4,9,0.392692991002818,-2.40960323111703,1
P19,Cz,10,0.628229254469665,1.08771119977156,0.999431331198516
P19,C3,11,0.370345900808218,-2.74141965664568,1
P19,T3,12,0.368498631689612,-2.76884847313085,1
P19,T6,13,0.540226886589122,-0.218974856171202,0.985898828934995
P19,P4,14,0.544121779371911,-0.161142297670376,0.863135680856036
P19,Pz,15,0.629486270215198,1.10637575376422,0.787632926020773
P19,P3,16,0.57087082147215,0.236035655196236,0.989083233720409
P19,T5,17,0.554974350803442,0,0.960933023099931
P19,O2,18,0.580192448826965,0.374446027287182,0.986854567387604
P19,O1,19,0.584810086981993,0.443010129979916,0.969543045820933
P20,Fp2,1,0.619529661765712,0.901651316533958,0.954374631724022
P20,Fp1,2,0.625373254412022,1,0.974676075880661
P20,F8,3,0.404813391570092,-2.71206096127398,0.890134643591903
P20,F4,4,0.500080321264695,-1.10870191823172,0.800222029254857
P20,Fz,5,0.412486826613934,-2.58291571109974,0.720844243802064
P20,F3,6,0.504386093977861,-1.03623501246421,0.983652226788006
P20,F7,7,0.568992533229678,0.0511026286797967,-0.196377481510053
P20,T4,8,0.446758886755419,-2.00611096124905,0.988254158167134
P20,C4,9,0.429705754884363,-2.29311814501472,1
P20,Cz,10,0.633173269066381,1.13127560709704,0.964884552483149
P20,C3,11,0.384306521822188,-3.05719515590159,1
P20,T3,12,0.439526003361148,-2.12784165032081,0.943999262672507
P20,T6,13,0.606210236768235,0.677483070676888,0.997589774832634
P20,P4,14,0.571509168982127,0.0934580473404811,0.910977637286997
P20,Pz,15,0.516728485256634,-0.828510414505345,0.387850755380823
P20,P3,16,0.598212250276074,0.542875563019785,0.937986153485982
P20,T5,17,0.565956163706099,0,0.974876911429248
P20,O2,18,0.614861387588344,0.823083447897092,0.993116108959284
P20,O1,19,0.613597303301581,0.801808688871617,0.963833694112676
P21,Fp2,1,0.632273277392016,0.217263293956176,0.875918938482086
P21,Fp1,2,0.638679159892194,0.365720723998496,0.94233385562188
P21,F8,3,0.281603835867856,-7.90956139906749,1
P21,F4,4,0.491596878984573,-3.04293646378198,0.786374196135413
P21,Fz,5,0.50426804021579,-2.74928012025928,0.848169480649712
